,en,ru,zh
BTN_SETTINGS_OTHER,Other,Другие,
BTN_SETTINGS_PROFILE,Profile,Профиль,
BTN_SETTINGS_SHOWMOVES,Show moves when input over piece,Показ ходов при наведении курсора,
BTN_SETTINGS_SOUND,Sound,Звук,聲音
BTN_SETTINGS_STYLES,Styles,Стили,
BTN_SETTINGS_UI,UI,Интерфейс,
BTN_SETTINGS_WIDGETS,Widgets,Виджеты,
BTN_SETUP,Setup,Настроить,
BTN_SFEN_RESET,Default,По умолчанию,
BTN_SHOW_AI_PANEL,Show AI Panel,Показать панель AI,
BTN_SHOW_PANEL,Show panel,Показать панель,
BTN_SHOW_PROFILE,Show profile,Показать профиль,
BTN_SIGNUP,Sign Up,Зарегистрироваться,
BTN_SKIP,Skip,Пропустить,
BTN_SWITCH_PANEL_AI,Switch to AI mode,Переключить в режим AI,
BTN_SWITCH_PANEL_STYLES,Switch to styles mode,Переключить в режим стилей,
BTN_TAKEBACK,Request turn back,Запросить ход назад,
BTN_TAKEBACK,Request takeback,Запрос возрата хода,
BTN_TO_MAIN_MENU,To main menu,Перейти в главное меню,
BTN_TOGGLE_HINT_MODE,Toggle hint mode,Включить режим подсказок,
BTN_TRYAGAIN,Try again,Попытаться снова,
BTN_TUTORIALS,Tutorials,Обучение,
BTN_YES,Yes,Да,
CB_ACCEPT_PERSONAL_INFORMATION,"I accept to give personal information under keep and control of administration of this server.
",Я согласен на передачу личной информации под контроль и хранение администрации сервера.,
CB_AI_HANDICAP,Give handicap to AI player,Дать гандикап AI,
CB_AI_VS_AI,AI vs AI mode,Режим битвы двух AI,
CB_AUTOMOVE,Automatic move,Автоматический ход,
CB_AUTOPROMOTE,Automatic promotion,Автоматическое превращение,
CB_BROADCAST,Broadcast,Сделать публичным,
CB_CAMERA_ALLOW_PAN,Allow panning,Разрешить панорамирование,
CB_CAMERA_ALLOW_PITCH,Allow vertical rotation,Разрешить вертикальное вращение,
CB_CAMERA_ALLOW_YAW,Allow horizontal rotation,Разрешить горизонтальное вращение,
CB_CAMERA_ALLOW_ZOOM,Allow zooming,Разрешить масштабирование,
CB_CAMERA_RESTRICT_YAW,Restrict horizontal rotation,Ограничить горизонтальное вращение,
CB_CAMERA_SWITCH_SIDES,Switch side each turn(local game only),Переключать камеру каждый ход(только локальная игра),
CB_CLOCK_SHOW_SECONDS,Show seconds,Показывать секунды,
CB_CLOCK_SHOW_ZEROES,Lead zero in hour,Передний ноль в часе,
CB_DESC_GAME_SETUP_PRIVATE,"Same as Unrated, but users cannot join and observe your game without password","Аналогично Обычной игре, но другие игроки не смогут присоединятся и просматривать вашу игру без знания пароля",
CB_DESC_GAME_SETUP_RATED,Fight with other players for ELO points and achivements,Борьба с другими игроками за очки ELO и достижения,
CB_DESC_GAME_SETUP_UNRATED,"Relaxed game with handicap and extended timer possibility, without points","Игра без очков, но с расширенными настройками таймера и форы",
CB_ENABLED,Enable,Включить,
CB_FONT_OUTLINE,Enable font outline,Включить обводку шрифта,啟用字體輪廓
CB_GAME_ENABLE_HANDICAP,Enable handicap,Включить гандикап,
CB_GAME_ENABLE_TIMECONTROL,Enable time control,Включить контроль времени,
CB_GAME_HANDICAP_10PIECE,"10-Piece - Rook, Bishop, both Lances, both Knights, both Silvers and both Golds","10-Фигур - Ладья, Слон, оба Копья, оба Коня, оба Серебра и оба Золота",
CB_GAME_HANDICAP_2PIECE,2-Piece - Rook and Bishop,2-Фигуры - Ладья и Слон,
CB_GAME_HANDICAP_3PAWNS,"All pieces except King, gives 3 pawn for drop to hand","Все фигуры исключая Короля, даёт 3 Пешки в руку",
CB_GAME_HANDICAP_3PIECE,"3-Piece - Rook, Bishop and right Lance","3-Фигуры - Ладья, Слон и правое Копьё",
CB_GAME_HANDICAP_4PIECE,"4-Piece - Rook, Bishop and both Lances","4-Фигуры - Ладья, Слон и оба Копья",
CB_GAME_HANDICAP_5PIECE,"5-Piece - Rook, Bishop, both Lances and right Knight","5-Фигур - Ладья, Слон, оба Копья и правый Конь",
CB_GAME_HANDICAP_6PIECE,"6-Piece - Rook, Bishop, both Lances and both Knights","6-Фигур - Ладья, Слон, оба Копья и оба Коня",
CB_GAME_HANDICAP_7PIECE,"7-Piece - Rook, Bishop, both Lances, both Knights and left Silver","7-Фигур - Ладья, Слон, оба Копья, оба Коня и левое Серебро",
CB_GAME_HANDICAP_8PIECE,"8-Piece - Rook, Bishop, both Lances, both Knights and both Silvers","8-Фигур - Ладья, Слон, оба Копья, оба Коня и оба Серебра",
CB_GAME_HANDICAP_9PIECE,"9-Piece - Rook, Bishop, both Lances, both Knights, both Silvers and left Gold","9-Фигур - Ладья, Слон, оба Копья, оба Коня, оба Серебра и левое Золото",
CB_GAME_HANDICAP_BISHOP,Bishop,Слон,
CB_GAME_HANDICAP_BLACK,FixedBlack - gives other player Black side and handicap of first move,Игра за чёрных - даёт другому игроку чёрный цвет и преимущество первого хода,
CB_GAME_HANDICAP_DRAGONFLY,"Dragonfly - all except Kings, Pawns, Rook and Bishop","Стрекоза - все кроме Короля, Пешек, Ладьи и Слона",
CB_GAME_HANDICAP_DRAGONFLY_LANCES,Dragonfly with Lances,Стрекоза с Копьями,
CB_GAME_HANDICAP_DRAGONFLY_LANCES_KNIGHTS,Dragonfly with Lances and Knights,Стрекоза с Копьями и Конями,
CB_GAME_HANDICAP_LEFT_LANCE,Left Lance,Левое Копьё,
CB_GAME_HANDICAP_NAKED_KING,Only King,Только Король,只玉將
CB_GAME_HANDICAP_RIGHT_LANCE,"Right Lance
",Правое Копьё,
CB_GAME_HANDICAP_ROOK,"Rook
","Ладья
",
CB_GAME_HANDICAP_ROOK_BISHOP_LEFT_SILVER,"Rook, Bishop and left Silver","Ладья, Слон и левое Серебро",
CB_GAME_HANDICAP_ROOK_LANCE,Rook and left Lance,Ладья и левое Копьё,
CB_GAME_HANDICAP_ROOK_SILVER,Rook and Silver - you will not have Rook and right Silver,Ладья и правое Серебро,
CB_GAME_LIFTUP_PIECES,Enable lift up piece animation,Включить анимацию поднятия фигур,
CB_GAME_SETUP_PRIVATE,Private game,Приватная игра,
CB_GAME_SETUP_RATED,Rated game,Рейтинговая игра,
CB_GAME_SETUP_UNRATED,Unrated game,Обычная игра,
CB_GAME_SHOW_CASTLINGS,Show castlings,Показывать крепости,
CB_GAME_SHOW_LASTMOVE,Highlight last move,Показывать последний ход,
CB_GFX_VSYNC,Vertical synchronization,Вертикальная синхронизация,
CB_HISTORY_AUTO_SCROLL,AutoScroll,Автопрокрутка,
CB_HISTORY_AUTO_SHOW,Auto-launch history,Автозапуск истории,
CB_HISTORY_REVERT_BUTTON,Revert playback button,Кнопка воспроизведения в обратную сторону,
CB_HISTORY_TURN_SYMBOL,Show turn symbol,Показывать символ очерёдности хода,
CB_HISTORY_USE_NUMBER,Use number for Y coordinate,Использовать цифру для обозначения Y координаты,
CB_LOOPBACK,Loopback(for devs),Loopback(for devs),
CB_MP_RULES_ACCEPT,I readed and accept these rules,Я прочитал и принимаю эти правила,
CB_NOAGE,Do not specified,Не указывать,
CB_OBS,Observer mode,Режим наблюдателя,
CB_OTHER_BYE,Show goodbye screen,Показывать экран прощания,
CB_PROFILE_ENABLE_MPPASSWORD,Use main password for login to network servers,Использовать пароль для доступа к игровому серверу,
CB_PROFILE_ENABLE_PROTECTION,Enable password protection,Включить защиту паролем,
CB_QQ_SHOW_DIALOG,Show acception dialog,Показывать диалог подтверждения,
CB_REMEMBER_PASSWORD,Remember password,Запомнить пароль,
CB_REPLAYS_UPDATE_EVERY_TURN,Every turn,Обновлять каждый ход,
CB_REPLAYS_UPDATE_NO,Do not update and show,Не обновлять и не показывать ходы,
CB_REPLAYS_UPDATE_WHEN_INPUT_OVER,"Update, when input is over piece","Обновить, когда курсор над фигурой",
CB_SANSARA_ORDER_CUSTOM,Custom,Настраиваемо,
CB_SANSARA_ORDER_NEXT,Next,Следующий,
CB_SANSARA_ORDER_PREVIOUS,Previous,Предыдущий,
CB_SANSARA_ORDER_RANDOM,Random,Случайно,
CB_SOUND_ENABLE_3D,Enable 3D effect,Включить 3D эффект,
CB_SOUND_ENABLE_CHECK,Enable check and checkmate announcing,Включить звуковое оповещение о шахе и мате,
CB_SOUND_ENABLE_MOVE,Enable piece move sounds,Включить звуки передвижения фигур,
CB_SOUND_ENABLE_MUSIC,Enable music,Включить музыку,
CB_SOUND_ENABLE_SPEECH,Enable move commenting,Включить комментирование ходов,
CB_SOUND_ENABLE_UI,Enable UI sounds,Включить звуки интерфейса,
CB_STYLES_BOARD_MARKUP,Enable board markup,Включить разметку доски,
CB_STYLES_BOARD_SOLID_COLOR,Solid color,Сплошной цвет,
CB_STYLES_BOARD_TEXTURE,Texture,Текстура,
CB_STYLES_CHESS_COLORING,Chess coloring,Шахматная раскраска,
CB_STYLES_UI_COLORING,Use UI theme colors,Использовать цвета из темы UI,
CB_STYLES_ZONES_COLORING,Promotion zones coloring,Раскраска зон превращения,
CB_UI_STYLE_SIMPLE,Simple,Простой,
CB_UI_STYLE_TILES,Tiles,Тайловый,
CB_UI_TIPS_BUTTON,Button and widget tips,Подсказки для кнопок и виджетов,
CY_AAB,Antigua,Антигуа,
CY_AFGHANISTAN,Afghanistan,Афганистан,
CY_ALBANIA,Albania,Албания,
CY_ALGERIA,Algeria,Алжир,
CY_ANDORRA,Andorra,Андорра,
CY_ANGOLA,Angola,Ангола,
CY_ARGENTINA,Argentina,Аргентина,
CY_ARMENIA,Armenia,Армения,
CY_AUSTRALIA,Australia,Австралия,
CY_AUSTRIA,Austria,Австрия,
CY_AZERBAIJAN,Azerbaijan,Азербайджан,
CY_BAH,Bosnia,Босния,
CY_BAHAMAS,Bahamas,Багамы,
CY_BAHRAIN,Bahrain,Бахрейн,
CY_BANGLADESH,Bangladesh,Бангладеш,
CY_BARBADOS,Barbados,Барбадос,
CY_BELARUS,Belarus,Беларусь,
CY_BELGIUM,Belgium,Бельгия,
CY_BELIZE,Belize,Белиз,
CY_BENIN,Benin,Бенин,
CY_BHUTAN,Bhutan,Бутан,
CY_BOLIVIA,Bolivia,Боливия,
CY_BOTSWANA,Botswana,Ботсвана,
CY_BRAZIL,Brazil,Бразилия,
CY_BRUNEI,Brunei,Бруней,
CY_BULGARIA,Bulgaria,Болгария,
CY_BURKINAFASO,Burkina Faso,Буркина-Фасо,
CY_BURUNDI,Burundi,Бурунди,
CY_CAMBODIA,Cambodia,Камбоджа,
CY_CAMEROON,Cameroon,Камерун,
CY_CANADA,Canada,Канада,
CY_CAPEVERDE,Cape Verde,Кабо-Верде,
CY_CAR,CAR,ЦАР,
CY_CHAD,Chad,Чад,
CY_CHILE,Chile,Чили,
CY_CHINA,China,Китай,
CY_COLOMBIA,Colombia,Колумбия,
CY_COMOROS,Comoros,Коморы,
CY_CONGO,DRC,ДРК,
CY_CONGO2,Congo,Конго,
CY_COSTARICA,Costa Rica,Коста-Рика,
CY_CROATIA,Croatia,Хорватия,
CY_CUBA,Cuba,Куба,
CY_CYPRUS,Cyprus,Кипр,
CY_CZECH,Czech,Чехия,
CY_DENMARK,Denmark,Дания,
CY_DJIBOUTI,Djibouti,Джибути,
CY_DOMINICAN_REPUBLIC,Domin. Republic,Домин. Республика,
CY_EASTTIMOR,East Timor,Вост.Тимор,
CY_ECUADOR,Ecuador,Эквадор,
CY_EGYPT,Egypt,Египет,
CY_ELSALVADOR,El Salvador,Сальвадор,
CY_EQGUINEA,Equat.Guinea,Экват.Гвинея,
CY_ERITREA,Eritrea,Эритрея,
CY_ESTONIA,Estonia,Эстония,
CY_ETHIOPIA,Ethiopia,Эфиопия,
CY_FIJI,Fiji,Фиджи,
CY_FINLAND,Finland,Финляндия,
CY_FRANCE,France,Франция,
CY_GABON,Gabon,Габон,
CY_GAMBIA,Gambia,Гамбия,
CY_GEORGIA,Georgia,Грузия,
CY_GERMANY,Germany,Германия,
CY_GHANA,Ghana,Гана,
CY_GREECE,Greece,Греция,
CY_GRENADA,Grenada,Гренада,
CY_GUATEMALA,Guatemala,Гватемала,
CY_GUINEA,Guinea,Гвинея,
CY_GUINEA_BISSAU,Guinea-Bissau,Гвинея-Бисау,
CY_GUYANA,Guyana,Гайана,
CY_HAITI,Haiti,Гаити,
CY_HONDURAS,Honduras,Гондурас,
CY_HUNGARY,Hungary,Венгрия,
CY_ICELAND,Iceland,Исландия,
CY_INDIA,India,Индия,
CY_INDONESIA,Indonesia,Индонезия,
CY_IRAN,Iran,Иран,
CY_IRAQ,Iraq,Ирак,
CY_IRELAND,Ireland,Ирландия,
CY_ISRAEL,Israel,Израиль,
CY_ITALY,Italy,Италия,
CY_JAMAICA,Jamaica,Ямайка,
CY_JAPAN,Japan,Япония,
CY_JORDAN,Jordan,Иордания,
CY_KENYA,Kenya,Кения,
CY_KIRIBATI,Kiribati,Кирибати,
CY_KUWAIT,Kuwait,Кувейт,
CY_KYRGYZSTAN,Kyrgyzstan,Киргизия,
CY_KZ,Kazakhstan,Казахстан,
CY_LAOS,Laos,Лаос,
CY_LATVIA,Latvia,Латвия,
CY_LIBERIA,Liberia,Либерия,
CY_LIBYA,Libya,Ливия,
CY_LIECHTENSTEIN,Liechtenstein,Лихтенштейн,
CY_LITHUANIA,Lithuania,Литва,
CY_LUXEMBOURG,Luxembourg,Люксембург,
CY_MACEDONIA,Macedonia,Македония,
CY_MADAGASCAR,Magadascar,Магадаскар,
CY_MALAWI,Malawi,Малави,
CY_MALAYSIA,Malaysia,Малайзия,
CY_MALDIVES,Maldives,Мальдивы,
CY_MALI,Mali,Мали,
CY_MALTA,Malta,Мальта,
CY_MAURITIUS,Mauritius,Маврикий,
CY_MEXICO,Mexico,Мехико,
CY_MICRONESIA,Micronesia,Микронезия,
CY_MOLDOVA,Moldova,Молдавия,
CY_MONACO,Monaco,Монако,
CY_MONGOLIA,Mongolia,Монголия,
CY_MONTENEGRO,Montenegro,Черногория,
CY_MOROCCO,Morocco,Марокко,
CY_MOZAMBIQUE,Mozambique,Мозамбик,
CY_MYANMAR,Myanmar,Мьянма,
CY_NAMIBIA,Namibia,Намибия,
CY_NAURU,Nauru,Науру,
CY_NEPAL,Nepal,Непал,
CY_NETHERLANDS,Netherlands,Нидерланды,
CY_NEW_ZEALAND,New Zealand,Новая Зеландия,
CY_NICARAGUA,Nicaragua,Никарагуа,
CY_NIGER,Niger,Нигер,
CY_NIGERIA,Nigeria,Нигерия,
CY_NORTH_KOREA,North Korea,Северная Корея,
CY_NORWAY,Norway,Норвегия,
CY_OMAN,Oman,Оман,
CY_OTHER_USSR,Soviet Union,Советский Союз,
CY_PAKISTAN,Pakistan,Пакистан,
CY_PALAU,Palau,Палау,
CY_PALESTINE,Palestine,Палестина,
CY_PANAMA,Panama,Панама,
CY_PAPUA,Papua,Папуа,
CY_PARAGUAY,Paraguay,Парагвай,
CY_PERU,Peru,Перу,
CY_PHILIPPINES,Philippines,Филиппины,
CY_POLAND,Poland,Польша,
CY_PORTUGAL,Portugal,Португалия,
CY_QATAR,Qatar,Катар,
CY_ROMANIA,Romania,Румыния,
CY_RUSSIA,Russia,Россия,
CY_RWANDA,Rwanda,Руанда,
CY_SAINT_KITTS,Saint Kitts,Сент-Китс,
CY_SAINT_LUCIA,Saint Lucia,Сент-Люсия,
CY_SAINT_VINCENT,Saint Vincent,Сент-Винсент,
CY_SAMOA,Samoa,Самоа,
CY_SAN_MARINO,San Marino,Сан-Марино,
CY_SAO_TOME,São Tomé,Сан-Томе,
CY_SAUDI_ARABIA,Saudi Arabia,Саудовская Аравия,
CY_SENEGAL,Senegal,Сенегал,
CY_SERBIA,Serbia,Сербия,
CY_SEYCHELLES,Seychelles,Сейшеллы,
CY_SIERRA_LEONE,Sierra Leone,Сьерра-Леоне,
CY_SINGAPORE,Singapore,Сингапур,
CY_SLOVAKIA,Slovakia,Словакия,
CY_SLOVENIA,Slovenia,Словения,
CY_SOLOMON_ISLANDS,Solomon Islands,Соломоновы Острова,
CY_SOUTH_AFRICA,South Africa,Южная Африка,
CY_SOUTH_KOREA,South Korea,Южная Корея,
CY_SOUTH_SUDAN,South Sudan,Южный Судан,
CY_SPAIN,Spain,Испания,
CY_SRI_LANKA,Sri Lanka,Шри-Ланка,
CY_SUDAN,Sudan,Судан,
CY_SURINAME,Suriname,Суринам,
CY_SWAZILAND,Swaziland,Свазилэнд,
CY_SWEDEN,Sweden,Швеция,
CY_SWITZERLAND,Switzerland,Швейцария,
CY_SYRIA,Syria,Сирия,
CY_TAIWAN,Taiwan,Тайвань,
CY_TAJIKISTAN,Tajikistan,Таджикистан,
CY_TANZANIA,Tanzania,Танзания,
CY_THAILAND,Thailand,Таиланд,
CY_TOGO,Togo,Того,
CY_TONGA,Tonga,Тонга,
CY_TRINIDAD,Trinidad,Тринидад,
CY_TUNISIA,Tunisia,Тунис,
CY_TURKEY,Turkey,Турция,
CY_TURKMENISTAN,Turkmenistan,Туркменистан,
CY_TUVALU,Tuvalu,Тувалу,
CY_UAE,Emirates,Эмираты,
CY_UGANDA,Uganda,Уганда,
CY_UK,United Kingdom,Англия,
CY_UKRAINE,Ukraine,Украина,
CY_UNKNOWN,Not specified,Не указана,
CY_URUGUAY,Uruguay,Уругвай,
CY_USA,USA,США,
CY_UZBEKISTAN,Uzbekistan,Узбекистан,
CY_VANUATU,Vanuatu,Вануату,
CY_VATICAN,Vatican,Ватикан,
CY_VENEZUELA,Venezuela,Венесуэла,
CY_VIETNAM,Vietnam,Вьетнам,
CY_YEMEN,Yemen,Йемен,
CY_ZAMBIA,Zambia,Замбия,
CY_ZIMBABWE,Zimbabwe,Зимбабве,
DESC_ACCEPT,Accepted !,Принято !,
DESC_ADV_AI_SETTINGS,Advanced AI settings,Подробные настройки AI,
DESC_AI_DIFFICULTY,Difficulty:,Сложность:,
DESC_AI_LOG,Open,Настройки AI,
DESC_AI_SETTINGS,AI settings,Настройки AI,
DESC_AI_SIDE,This parameter has no meaning in AI vs AI game,Этот параметр не имеет значения в режиме AI против AI,
DESC_AWAITING,Awaiting other player…,Ожидание второго игрока...,
DESC_BYOYOMI,Byo-yomi:,Бёёми:,
DESC_CLIENT_RECONNECTED,Client is reconnected,Клиент подсоединился заново,
DESC_CONFIRMATION_ERRORS,"There are some input errors in your profile.
Please, go back to previous screen and fix them.","К сожалению при заполнении профиля были допущены ошибки. 
Пожалуйста вернитесь на предыдущий экран и исправьте их.",
DESC_CONNECT_TARGET,Connection target,Режим присоединения,
DESC_CONNECTING,Connecting…,Соединение…,
DESC_COUNTRIES,Note : Some countries with bad internet are not included in that list,Замечание: некоторые страны с плохим интернетом были исключены из этого списка,
DESC_DELETE_FILE,Do you really want to irredeemably delete this file ?,Вы точно хотите безвозвратно удалить этот файл ?,
DESC_DELETE_PROFILE,"Are you sure you want to reset all settings ?
(After this game will be closed)","Вы уверены что хотите сбросить все настройки ?
(После этого произойдёт выход из игры)",
DESC_DRAW,Draw,Ничья,
DESC_ENGINE_NOT_FOUND_ERROR,"Engine is not selected ! 
Use button below to fix it.","Движок не выбран ! 
Воспользуйтесь кнопкой ниже чтобы это исправить.",
DESC_ERROR_LOW_RESOLUTION,"Low resolution !
Resolution below 1920x1080 is not yet supported by this game
In future this restriction can be lowered to 1366x768","Низкое разрешение экрана !
Разрешения ниже 1920x1080 ещё не поддерживаются этой игрой
В будущем возможно снижение ограничения до 1366x768",
DESC_FIRST_PROFILE,"Game does not detect any profiles on your PC.
These profiles saves your personal settings, so you must have at least one
to save them.
Later, you can create multiple profiles (ex.. for your siblings).
You can also enter as quest, in that case, many game settings and functions will be unavailable.","Игра не обнаружила у вас ни одного профиля.
Игра хранит ваши персональные настройки в профиле, 
поэтому его создание необходимо, чтобы сохранять их.
Позже вы сможете создать несколько профилей (к примеру для своих родственников).
Вы также можете войти как гость, в этом случае, многие настройки и функции будут недоступны.",
DESC_FOLDER_IS_EMPTY,Folder is empty,Папка пуста,
DESC_GAME_IS_FULL,"Slots are full.
You cannot join as player.","Все места заняты.
Вы не можете присоединиться к ней как игрок.",
DESC_GAME_IS_FULL2,"Slots are full.
You cannot join as observer.","Все места заняты.
Вы не можете приосединиться к ней как наблюдатель",
DESC_GAME_NAME,Game name:,Имя игры:,
DESC_GAMEOVER,Game over,Игра закончена,
DESC_HISTORY_NOTATION_FULL,Full,Полная,
DESC_HISTORY_NOTATION_JAPANESE,Japanese,Японская,
DESC_HISTORY_NOTATION_SHORT,Short,Укороченная,
DESC_HISTORY_PAUSE_DURATION,Pause duration:,Длина паузы:,
DESC_HOST_ERROR,Server creation error :,Ошибка создания сервера :,
DESC_HOST_ERROR_ALREADY_IN_USE,Server already created,Сервер уже создан,
DESC_HOST_ERROR2,Server could not be created,Сервер не может быть создан,
DESC_HOST_SIDE,Your side:,Ваша сторона:,
DESC_INPUT_CITY,"50 symbols where you could define your city.
Only latin letters and ""-"" symbol are accepted.","50 символов в который вы можете поместить свой город.
Принимаются только латинские буквы и символ ""-"".",
DESC_INPUT_COUNTRY,"You can choose your country by pressing this button
You can also leave it as unspecified","Вы можете выбрать свою страну нажав эту кнопку
Вы также можете оставить её неопределённой",
DESC_INPUT_DEFAULT,to set key to default,для сброса на значение по умолчанию,
DESC_INPUT_DELETE,or [Backspace] to set key to null,или [Backspace] чтобы стереть значение,
